vent size,gas percentage,modified gp,velocity,independent,collapsed,buoyant,
5000,0.07,,x,velocity,343.9,344,
5000,0.08,,x,velocity,220,220.1,
5000,0.09,,x,velocity,174.6,174.7,
5000,0.1,,x,velocity,141.9,142,
5000,0.11,,x,velocity,111.8,111.9,
5000,0.12,,x,velocity,83.27,83.28,
5000,0.13,,x,velocity,55.93,55.94,
5000,0.14,,x,velocity,29.73,29.74,
2500,x,,1,gas mass frac,0.1513,0.1514,
3000,x,,1,gas mass frac,0.1513,0.1514,
3500,x,,1,gas mass frac,0.1513,0.1514,
4000,x,,1,gas mass frac,0.1514,0.1515,
4500,x,,1,gas mass frac,0.1514,0.1515,
1,0.01,,x,velocity,11.85,11.86,
1,0.02,,x,velocity,9.25,9.251,
1,0.03,,x,velocity,7.702,7.703,
1,0.04,,x,velocity,6.558,6.559,
1,0.05,,x,velocity,5.629,5.63,
1,0.06,,x,velocity,4.833,4.834,
1,0.1,,x,velocity,2.367,2.368,
1,0.11,,x,velocity,1.859,1.86,
1,0.12,,x,velocity,1.379,1.38,
500,x,,1,gas mass frac,0.1507,0.1508,
750,x,,1,gas mass frac,0.1509,0.151,
1000,x,,1,gas mass frac,0.151,0.1511,
1250,x,,1,gas mass frac,0.1511,0.1512,
1500,x,,1,gas mass frac,0.1511,0.1512,
1750,x,,1,gas mass frac,0.1512,0.1513,
500,x,,500,gas mass frac,0.0025,0.0026,
1000,x,,500,gas mass frac,0.0096,0.0097,
1500,x,,500,gas mass frac,0.0184,0.0185,
2000,x,,500,gas mass frac,0.0275,0.0276,
2500,x,,500,gas mass frac,0.036,0.0361,
3000,x,,500,gas mass frac,0.0437,0.0438,
4500,x,,500,gas mass frac,0.0618,0.0619,
5000,1,,500,vent size,posinf,posinf,
5000,1,,1,vent size,posinf,posinf,
1,1,,500,vent size,posinf,posinf,
5000,0.0001,,500,vent size,153,152.9,
1,1,,1,vent size,posinf,posinf,
5000,0.0001,,1,vent size,neginf,neginf,
1,0.0001,,500,vent size,153,152.9,
1,0.0001,,1,vent size,neginf,neginf,
5000,1,,500,velocity,posinf,posinf,
5000,1,,1,velocity,posinf,posinf,
1,1,,500,velocity,posinf,posinf,
5000,0.0001,,500,velocity,neginf,neginf,
1,1,,1,velocity,posinf,posinf,
5000,0.0001,,1,velocity,neginf,neginf,
1,0.0001,,500,velocity,31.51,31.52,
1,0.0001,,1,velocity,31.51,31.52,
5000,1,,500,gas mass frac,0.0665,0.0666,
5000,1,,1,gas mass frac,0.1514,0.1515,
1,1,,500,gas mass frac,posinf,posinf,
5000,0.0001,,500,gas mass frac,0.0665,0.0666,
1,1,,1,gas mass frac,0.1283,0.1284,
5000,0.0001,,1,gas mass frac,0.1514,0.1515,
1,0.0001,,500,gas mass frac,posinf,posinf,
1,0.0001,,1,gas mass frac,0.1283,0.1284,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
