vent size,gas percentage,modified gp,velocity,independent,collapsed,buoyant,midpoint,%uncertainty,+/-,,
4880,0.351142391,0.070228478,459,velocity,320,320.1,320.05,0.03%,1.0E-01,,
4477,0.128178479,0,60,velocity,58.8,58.9,58.85,0.17%,1.0E-01,,
852,0.421668392,0.084333678,17,velocity,92.07,92.08,92.075,0.01%,1.0E-02,,
3182,0.331786833,0.066357367,201,velocity,224.9,225,224.95,0.04%,1.0E-01,,
3896,0.097319078,0,293,velocity,138.1,138.2,138.15,0.07%,1.0E-01,,
855,0.27283855,0.05456771,170,velocity,147.3,147.4,147.35,0.07%,1.0E-01,,
2647,0.243151796,0.048630359,15,velocity,284.7,284.8,284.75,0.04%,1.0E-01,,
395,0.093699037,0,450,velocity,52.6,52.7,52.65,0.19%,1.0E-01,,
2248,0.495132101,0.09902642,435,velocity,106,106.1,106.05,0.09%,1.0E-01,,
615,0.181494227,0.036298845,256,velocity,168.2,168.3,168.25,0.06%,1.0E-01,,
1984,0.413895817,0.082779163,49,velocity,137.3,137.4,137.35,0.07%,1.0E-01,,
2252,0.418120844,0.083624169,182,velocity,142.3,142.4,142.35,0.07%,1.0E-01,,
599,0.598645551,0.11972911,331,velocity,33.06,33.07,33.065,0.03%,1.0E-02,,
2266,0.688541256,0.137708251,314,velocity,25.41,25.42,25.415,0.04%,1.0E-02,,
3620,0.446760071,0.089352014,480,velocity,157.3,157.4,157.35,0.06%,1.0E-01,,
5000,0.07,0,0,velocity,343.9,344,343.95,0.03%,1.0E-01,,
5000,0.08,0,0,velocity,220,220.1,220.05,0.05%,1.0E-01,,
5000,0.09,0,0,velocity,174.6,174.7,174.65,0.06%,1.0E-01,,
5000,0.1,0,0,velocity,141.9,142,141.95,0.07%,1.0E-01,,
5000,0.11,0,0,velocity,111.8,111.9,111.85,0.09%,1.0E-01,,
5000,0.12,0,0,velocity,83.27,83.28,83.275,0.01%,1.0E-02,,
5000,0.13,0,0,velocity,55.93,55.94,55.935,0.02%,1.0E-02,,
5000,0.14,0,0,velocity,29.73,29.74,29.735,0.03%,1.0E-02,,
2500,0,0,1,gas mass frac,0.1513,0.1514,0.15135,0.07%,1.0E-04,,
3000,0,0,1,gas mass frac,0.1513,0.1514,0.15135,0.07%,1.0E-04,,
3500,0,0,1,gas mass frac,0.1513,0.1514,0.15135,0.07%,5.0E-05,,
4000,0,0,1,gas mass frac,0.1514,0.1515,0.15145,0.07%,5.0E-05,,
4500,0,0,1,gas mass frac,0.1514,0.1515,0.15145,0.07%,5.0E-05,,
1,0.01,0,0,velocity,11.85,11.86,11.855,0.08%,5.0E-03,,
1,0.02,0,0,velocity,9.25,9.251,9.2505,0.01%,5.0E-04,,
1,0.03,0,0,velocity,7.702,7.703,7.7025,0.01%,5.0E-04,,
1,0.04,0,0,velocity,6.558,6.559,6.5585,0.02%,5.0E-04,,
1,0.05,0,0,velocity,5.629,5.63,5.6295,0.02%,5.0E-04,,
1,0.06,0,0,velocity,4.833,4.834,4.8335,0.02%,5.0E-04,,
1,0.1,0,0,velocity,2.367,2.368,2.3675,0.04%,5.0E-04,,
1,0.11,0,0,velocity,1.859,1.86,1.8595,0.05%,5.0E-04,,
1,0.12,0,0,velocity,1.379,1.38,1.3795,0.07%,5.0E-04,,
500,0,0,1,gas mass frac,0.1507,0.1508,0.15075,0.07%,5.0E-05,,
750,0,0,1,gas mass frac,0.1509,0.151,0.15095,0.07%,5.0E-05,,
1000,0,0,1,gas mass frac,0.151,0.1511,0.15105,0.07%,5.0E-05,,
1250,0,0,1,gas mass frac,0.1511,0.1512,0.15115,0.07%,5.0E-05,,
1500,0,0,1,gas mass frac,0.1511,0.1512,0.15115,0.07%,5.0E-05,,
1750,0,0,1,gas mass frac,0.1512,0.1513,,0.07%,1.5E-01,,
500,0,0,500,gas mass frac,0.0025,0.0026,,3.85%,2.5E-03,,
1000,0,0,500,gas mass frac,0.0096,0.0097,,1.03%,9.6E-03,,
1500,0,0,500,gas mass frac,0.0184,0.0185,,0.54%,1.8E-02,,
2000,0,0,500,gas mass frac,0.0275,0.0276,,0.36%,2.8E-02,,
2500,0,0,500,gas mass frac,0.036,0.0361,,0.28%,3.6E-02,,
3000,0,0,500,gas mass frac,0.0437,0.0438,,0.23%,4.4E-02,,
4500,0,0,500,gas mass frac,0.0618,0.0619,,,6.2E-02,,
