Galaxy,R.A.,Dec.,u_mag,g_mag,r_mag,i_mag,log10(Stellar Mass[Msol]),log10(SFR[Msol/yr]),Spiral,Elliptical
Coma_GZ82,194.85388,27.738848,17.65,15.86,15.05,14.65,10.09,-1.78,0,1
Coma_GZ83,194.79811,28.009268,19.19,17.3,16.57,16.2,9.46,-2.58,0,1
Coma_GZ84,194.92625,27.924734,17.86,16.06,15.26,14.91,10.05,-2.03,0,1
Coma_GZ85,194.93623,27.88977,19.35,17.76,17.05,16.72,9.21,-1.81,0,1
Coma_GZ86,195.28764,28.359798,17.38,15.79,15.09,14.74,10.05,-1.1,0,1
Coma_GZ87,195.2893,28.033113,18.55,16.83,16.1,15.72,9.69,-1.77,0,1
Coma_GZ88,195.2027,28.09073,16.54,14.66,13.85,13.41,10.74,-1.03,0,1
Coma_GZ89,195.05681,27.867195,18.51,16.85,16.13,15.77,9.68,-1.8,0,1
Coma_GZ90,195.01851,27.987589,16.57,14.71,13.94,13.56,10.57,-1.8,0,1
Coma_GZ91,195.95811,28.185732,15.21,13.44,12.69,12.32,11.04,-0.75,0,1
Coma_GZ92,195.96165,27.988379,16.86,14.99,14.2,13.82,10.45,-1.63,0,1
Coma_GZ93,195.685,28.04535,16.4,14.47,13.69,13.31,10.6,-1.79,0,1
Coma_GZ94,195.81767,28.030416,16.53,14.87,14.1,13.72,10.41,-0.7,1,0
Coma_GZ95,195.52502,27.765123,19.2,17.66,17.01,16.68,9.18,-1.54,1,0
Coma_GZ96,195.29459,27.802908,17.36,15.59,14.83,14.45,10.17,-1.73,0,1
Coma_GZ97,195.9604,28.054417,18.32,16.75,16.12,15.82,9.37,-1.94,1,0
Coma_GZ98,196.0198,27.850521,18.42,16.83,16.12,15.76,9.51,-1.83,1,0
Coma_GZ99,195.53905,27.589367,19.18,17.66,16.98,16.67,9.13,-1.88,0,1
Coma_GZ100,195.53284,27.648308,16.0,14.82,14.27,14.0,10.15,0.3,1,0
Coma_GZ101,196.2057,28.269451,17.76,16.07,15.34,15.0,9.88,-2.02,0,1
